region	sub-table	lower_frequency	upper_frequency	category	service	footnotes
gb		2300000	2498000	p	Fixed	5.103, UK11, UK2, EU1
gb		2300000	2498000	p	Mobile except aeronautical mobile (R)	5.103, UK11, UK185, UK2, EU1
gb		2498000	2501000	p	Standard Frequency and Time Signal	UK1, UK11, UK9, EU1
gb		2501000	2502000	p	Standard Frequency and Time Signal	UK1, UK11, UK9, EU1
gb		2501000	2502000	s	Space Research	UK1, UK11, UK9, EU1
gb		2502000	2625000	p	Fixed	5.92, 5.103, UK11, UK12, UK2, EU1
gb		2502000	2625000	p	Mobile except aeronautical mobile (R)	5.92, 5.103, UK11, UK12, UK185, UK2, EU1
gb		2502000	2625000	p	Radiolocation	5.92, 5.103, UK11, UK12, UK2, EU1
gb		2625000	2650000	p	Maritime Mobile	5.92, UK11, UK185, UK2, EU1
gb		2625000	2650000	p	Radiolocation	5.92, UK11, UK2, EU1
gb		2650000	2850000	p	Fixed	5.92, 5.103, UK11, UK2, EU1
gb		2650000	2850000	p	Mobile except aeronautical mobile (R)	5.92, 5.103, UK11, UK185, UK2, EU1
gb		2650000	2850000	p	Radiolocation	5.92, 5.103, UK11, UK2, EU1
gb		2850000	3025000	p	Aeronautical Mobile (R)	5.111, 5.115, UK1, UK11, UK12, UK9, EU1, UK5.8
gb		3025000	3155000	p	Aeronautical Mobile (OR)	UK11, UK2, EU1
gb		3155000	3200000	p	Fixed	5.116, UK11, UK185, UK2, EU1
gb		3155000	3200000	p	Mobile except aeronautical mobile (R)	5.116, UK11, UK185, UK2, EU1
gb		3200000	3230000	p	Fixed	5.116, UK11, UK185, UK2, EU1
gb		3200000	3230000	p	Mobile except aeronautical mobile (R)	5.116, UK11, UK185, UK2, EU1
gb		3230000	3400000	p	Fixed	5.116, UK11, UK2, EU1
gb		3230000	3400000	p	Mobile except aeronautical mobile	5.116, UK11, UK185, UK2, EU1
gb		3400000	3500000	p	Aeronautical Mobile (R)	UK1, UK11, UK9, EU1, UK5.9
gb		3500000	3800000	p	Amateur	5.92, UK11, UK12, UK2, UK7, EU1, UK5.10
gb		3500000	3800000	p	Fixed	5.92, UK11, UK12, UK2, EU1
gb		3500000	3800000	p	Mobile except aeronautical mobile	5.92, UK11, UK12, UK185, UK2, EU1
gb		3500000	3800000	p	Radiolocation	5.92, UK11, UK12, UK2, EU1
gb		3800000	3900000	p	Fixed	UK11, UK2, EU1
gb		3800000	3900000	p	Aeronautical Mobile (OR)	UK11, UK2, EU1
gb		3800000	3900000	p	Land Mobile	UK11, UK2, EU1
gb		3900000	3950000	p	Aeronautical Mobile (OR)	UK11, UK2, EU1
gb		3950000	4000000	p	Fixed	UK1, UK11, EU1
gb		3950000	4000000	p	Broadcasting	UK1, UK11, UK25, EU1
gb		4000000	4063000	p	Fixed	UK11, UK2, EU1
gb		4000000	4063000	p	Maritime Mobile	5.127, UK11, UK185, UK2, EU1
gb		4063000	4438000	p	Maritime Mobile	5.79A, 5.109, 5.110, 5.129, 5.130, 5.131, 5.132, UK11, UK12, UK185, UK2, EU1
gb		4438000	4488000	p	Fixed	UK11, UK2, EU1
gb		4438000	4488000	p	Mobile except aeronautical mobile (R)	UK11, UK2, EU1
gb		4438000	4488000	s	Radiolocation	UK11, UK2, EU1
gb		4488000	4650000	p	Fixed	UK11, UK2, EU1
gb		4488000	4650000	p	Mobile except aeronautical mobile (R)	UK11, UK2, EU1
gb		4650000	4700000	p	Aeronautical Mobile (R)	UK1, UK11, UK9, UK4.4, EU1
gb		4700000	4750000	p	Aeronautical Mobile (OR)	UK11, UK2, EU1
gb		4750000	4850000	p	Fixed	UK11, UK2, EU1
gb		4750000	4850000	p	Aeronautical Mobile (OR)	UK11, UK2, EU1
gb		4750000	4850000	p	Land Mobile	UK11, UK2, EU1
gb		4850000	4995000	p	Fixed	UK11, UK2, EU1
gb		4850000	4995000	p	Land Mobile	UK11, UK2, EU1
gb		4995000	5003000	p	Standard Frequency and Time Signal	UK1, UK11, UK9, EU1
gb		5003000	5005000	p	Standard Frequency and Time Signal	UK1, UK11, UK9, EU1
gb		5003000	5005000	s	Space Research	UK1, UK11, UK9, EU1
gb		5005000	5060000	p	Fixed	UK11, UK2, EU1
gb		5060000	5250000	p	Fixed	UK11, UK2, EU1
gb		5060000	5250000	s	Mobile except aeronautical mobile	UK11, UK2, EU1
gb		5250000	5275000	p	Fixed	UK11, UK2, UK24, EU1
gb		5250000	5450000	p	Fixed	UK11, UK2, UK24, EU1
gb		5250000	5450000	s	Mobile except aeronautical mobile	UK11, UK2, UK24, EU1
gb		5250000	5450000	s	Mobile except aeronautical mobile	UK11, UK2, UK24, EU1
gb		5450000	5480000	p	Fixed	UK11, UK2, EU1
gb		5450000	5480000	p	Aeronautical Mobile (OR)	UK11, UK2, EU1
gb		5450000	5480000	p	Land Mobile	UK11, UK2, EU1
gb		5480000	5680000	p	Aeronautical Mobile (R)	5.111, 5.115, UK1, UK11, UK12, UK9, UK4.5, EU1
gb		5680000	5730000	p	Aeronautical Mobile (OR)	5.111, 5.115, UK11, UK12, UK2, EU1
gb		5730000	5900000	p	Fixed	UK11, UK2, UK25, EU1
gb		5730000	5900000	p	Land Mobile	UK11, UK2, UK25, EU1
gb		5900000	5950000	p	Broadcasting	5.134, 5.136, UK1, UK11, EU1
gb		5950000	6200000	p	Broadcasting	UK1, UK11, EU1
gb		6200000	6525000	p	Maritime Mobile	5.109, 5.110, 5.130, 5.132, 5.137, UK11, UK12, UK185, UK2, EU1
